ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD,COD_QUAD,COD_ANO
"049277034096000089","049","277","034096","00","0089",IP,CUR,"1",S,S,ZC,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",125.00,100.00,RUA BOA VIZINHANCA,"213",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"087241028347000054","087","241","028347","00","0054",SA,SAM,"1",S,S,ZER 1,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",318.00,438.00,RUA BARBOSA LOPES,"163",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"121208719064000081","121","208","719064","00","0081",SA,CGR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",130.00,125.00,RUA FRANCISCO IANNI,"144",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"045160162000000052","045","160","162000","00","0052",VM,SAU,"1",S,S,ZM,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"1",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",0.00,251.00,AV PIASSANGUABA,,D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"046242108510000061","046","242","108510","00","0061",IP,CUR,"1",S,S,ZEU,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",1000.00,664.00,RUA JOSE COCCIUFFO,"161",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"087241028347000053","087","241","028347","00","0053",SA,SAM,"1",S,S,ZER 1,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",350.00,438.00,RUA BARBOSA LOPES,"153",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"049277034096000090","049","277","034096","00","0090",IP,CUR,"1",S,S,ZC,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",125.00,100.00,RUA BOA VIZINHANCA,"215",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"048131124990000121","048","131","124990","00","0121",IP,CUR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",68.00,48.00,RUA CHEBL MASSUD,"65",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"119054037958000071","119","054","037958","00","0071",IP,SAC,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",112.00,99.00,RUA CACHOEIRA DOURADA,"328",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"121090174025000021","121","090","174025","00","0021",SA,CGR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",72.00,67.00,RUA HAFIZ,"65",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"085665173258000001","085","665","173258","00","0001",SA,SAM,"2",S,S,ZM,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"12",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",20.00,1035.00,RUA PROF. RODRIGUES VALE,"301",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"121090174025000020","121","090","174025","00","0020",SA,CGR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",235.00,268.00,RUA ORESTES BARBOSA,"349",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"035071049638000050","035","071","049638","00","0050",IP,IPI,"1",S,S,ZM,"0","0",,"0","0",S,QA,"1","0",,"0","0",MA,"10",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",986.00,493.00,RUA CIPRIANO BARATA,"538",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"121090150452000018","121","090","150452","00","0018",SA,CGR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",72.00,67.00,RUA ORESTES BARBOSA,"345",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"048242056189000030","048","242","056189","00","0030",IP,CUR,"2",S,S,ZC,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",950.00,1100.00,AV DO CURSINO,,R,0.00,0.00,,,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"085664010219000020","085","664","010219","00","0020",SA,SAM,"1",S,S,ZM,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"12",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",0.00,240.00,RUA AMARO GUERRA,"721",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"086282213977000039","086","282","213977","00","0039",SA,CBE,"1",S,S,ZER 1,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"1",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",437.00,516.00,RUA PROF. MICHEL MAURICIO DA ROCHA,"314",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"086282213977000040","086","282","213977","00","0040",SA,CBE,"1",S,S,ZER 1,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"1",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",603.00,984.00,RUA PROF MICHEL MAURICIO DA ROCHA,"308",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"121090150452000019","121","090","150452","00","0019",SA,CGR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",72.00,67.00,RUA ORESTES BARBOSA,"349",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"035071083984000049","035","071","083984","00","0049",IP,IPI,"1",S,S,ZM,"0","0",,"0","0",S,QA,"1","0",,"0","0",MA,"10",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",1240.00,1032.00,RUA GUARDA DE HONRA,"90",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"119054037958000070","119","054","037958","00","0070",IP,SAC,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",116.00,117.00,RUA CACHOEIRA DOURADA,"330",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"119054037958000072","119","054","037958","00","0072",IP,SAC,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",112.00,97.00,RUA CACHOEIRA DOURADA,"326",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"038071126799000138","038","071","126799","00","0138",VM,VMN,"1",S,S,ZEU,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"1",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",630.00,804.00,RUA MANUEL DE PAIVA,"40",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"093080127965000019","093","080","127965","00","0019",SO,SOC,"1",S,S,ZDE-2,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"13",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",1512.00,504.00,RUA MANUEL DE BRITO NOGUEIRA,"45",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"093117017213000078","093","117","017213","00","0078",SO,SOC,"1",S,S,ZPI-1,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"13",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",2100.00,3000.00,RUA ANTONIO FOSTER,"329",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"093082127515000073","093","082","127515","00","0073",SO,SOC,"1",S,S,ZDE-2,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"13",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",500.00,620.00,RUA OLIVIA GUEDES PENTEADO,"219",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"095032154059000058","095","032","154059","00","0058",SO,CDU,"1",S,S,ZMA,"0","0",,"0","0",S,QA,"12","0",,"0","0",MA,"5",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",80.00,115.00,AV. PROF. PAPINI,"389",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
"095032154059000059","095","032","154059","00","0059",SO,CDU,"1",S,S,ZMA,"0","0",,"0","0",S,QA,"12","0",,"0","0",MA,"5",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",90.00,115.00,AV. PROF. PAPINI,"389",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2020"
